g0,eta,sigma,kappa,gamma,gamma_phi,coupling,epsilon,T
1,1,-1,0.1,0,0.01,gauss,9.595959595959597,25
1,1,-1,0.1,0,0.01,gauss,9.636363636363637,25
1,1,-1,0.1,0,0.01,gauss,9.676767676767676,25
1,1,-1,0.1,0,0.01,gauss,9.717171717171718,25
1,1,-1,0.1,0,0.01,gauss,9.757575757575758,25
1,1,-1,0.1,0,0.01,gauss,9.7979797979798,25
1,1,-1,0.1,0,0.01,gauss,9.83838383838384,25
1,1,-1,0.1,0,0.01,gauss,9.878787878787879,25
1,1,-1,0.1,0,0.01,gauss,9.91919191919192,25
1,1,-1,0.1,0,0.01,gauss,9.95959595959596,25
1,1,-1,0.1,0,0.01,gauss,10.0,25
