g0,eta,sigma,kappa,gamma,gamma_phi,coupling,epsilon,T
1,1,-1,0.1,0,0.01,gauss,0.001,7.5
1,1,-1,0.1,0,0.01,gauss,0.10200000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,0.203,7.5
1,1,-1,0.1,0,0.01,gauss,0.30400000000000005,7.5
1,1,-1,0.1,0,0.01,gauss,0.405,7.5
1,1,-1,0.1,0,0.01,gauss,0.506,7.5
1,1,-1,0.1,0,0.01,gauss,0.6070000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,0.7080000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,0.809,7.5
1,1,-1,0.1,0,0.01,gauss,0.91,7.5
1,1,-1,0.1,0,0.01,gauss,1.011,7.5
1,1,-1,0.1,0,0.01,gauss,1.1119999999999999,7.5
1,1,-1,0.1,0,0.01,gauss,1.213,7.5
1,1,-1,0.1,0,0.01,gauss,1.314,7.5
1,1,-1,0.1,0,0.01,gauss,1.415,7.5
1,1,-1,0.1,0,0.01,gauss,1.516,7.5
1,1,-1,0.1,0,0.01,gauss,1.617,7.5
1,1,-1,0.1,0,0.01,gauss,1.718,7.5
1,1,-1,0.1,0,0.01,gauss,1.819,7.5
1,1,-1,0.1,0,0.01,gauss,1.92,7.5
1,1,-1,0.1,0,0.01,gauss,2.021,7.5
1,1,-1,0.1,0,0.01,gauss,2.122,7.5
1,1,-1,0.1,0,0.01,gauss,2.223,7.5
1,1,-1,0.1,0,0.01,gauss,2.324,7.5
1,1,-1,0.1,0,0.01,gauss,2.4250000000000003,7.5
1,1,-1,0.1,0,0.01,gauss,2.5260000000000002,7.5
1,1,-1,0.1,0,0.01,gauss,2.6270000000000002,7.5
1,1,-1,0.1,0,0.01,gauss,2.728,7.5
1,1,-1,0.1,0,0.01,gauss,2.829,7.5
1,1,-1,0.1,0,0.01,gauss,2.93,7.5
1,1,-1,0.1,0,0.01,gauss,3.031,7.5
1,1,-1,0.1,0,0.01,gauss,3.132,7.5
1,1,-1,0.1,0,0.01,gauss,3.233,7.5
1,1,-1,0.1,0,0.01,gauss,3.334,7.5
1,1,-1,0.1,0,0.01,gauss,3.435,7.5
1,1,-1,0.1,0,0.01,gauss,3.536,7.5
1,1,-1,0.1,0,0.01,gauss,3.637,7.5
1,1,-1,0.1,0,0.01,gauss,3.738,7.5
1,1,-1,0.1,0,0.01,gauss,3.839,7.5
1,1,-1,0.1,0,0.01,gauss,3.94,7.5
1,1,-1,0.1,0,0.01,gauss,4.041,7.5
1,1,-1,0.1,0,0.01,gauss,4.142,7.5
1,1,-1,0.1,0,0.01,gauss,4.243,7.5
1,1,-1,0.1,0,0.01,gauss,4.344,7.5
1,1,-1,0.1,0,0.01,gauss,4.445,7.5
1,1,-1,0.1,0,0.01,gauss,4.546,7.5
1,1,-1,0.1,0,0.01,gauss,4.647,7.5
1,1,-1,0.1,0,0.01,gauss,4.748,7.5
1,1,-1,0.1,0,0.01,gauss,4.849000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,4.950000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,5.051000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,5.152000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,5.253000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,5.354000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,5.455000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,5.556000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,5.657000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,5.758000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,5.859000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,5.960000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,6.061000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,6.162000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,6.263000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,6.364000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,6.465000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,6.566000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,6.667000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,6.768000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,6.869000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,6.970000000000001,7.5
1,1,-1,0.1,0,0.01,gauss,7.071000000000001,7.5
