,W_const
0.0,0.30574839979741497
0.010101010101010102,0.30540738162730985
0.020202020202020204,0.3043851011718526
0.030303030303030304,0.30268642857544936
0.04040404040404041,0.30032892614587725
0.05050505050505051,0.29746034575379743
0.06060606060606061,0.29397125761776155
0.07070707070707072,0.28986789712172256
0.08080808080808081,0.28515789014454884
0.09090909090909091,0.27985201203791543
0.10101010101010102,0.2739613226837222
0.11111111111111112,0.2675091491590702
0.12121212121212122,0.2606411738294028
0.13131313131313133,0.2539061585104122
0.14141414141414144,0.24678482383694078
0.15151515151515152,0.2392338226981855
0.16161616161616163,0.2313116451037418
0.17171717171717174,0.22310231145328552
0.18181818181818182,0.21453025808008108
0.19191919191919193,0.2056576827526343
0.20202020202020204,0.19709529349777943
0.21212121212121213,0.1882704748105598
0.22222222222222224,0.17973459931597224
0.23232323232323235,0.17181069299106488
0.24242424242424243,0.16484190331975146
0.25252525252525254,0.15804345961316035
0.26262626262626265,0.1511892178660057
0.27272727272727276,0.1445106048613145
0.2828282828282829,0.13844229512831752
0.29292929292929293,0.13433796914447582
0.30303030303030304,0.13158163545738677
0.31313131313131315,0.12972788515264488
0.32323232323232326,0.12936807239038473
0.33333333333333337,0.13006897468726075
0.3434343434343435,0.13250219033228194
0.3535353535353536,0.13723392528973588
0.36363636363636365,0.14442720125273611
0.37373737373737376,0.15286473949542723
0.38383838383838387,0.16181562048690656
0.393939393939394,0.17093265546091008
0.4040404040404041,0.18002619688315713
0.4141414141414142,0.18893742950450876
0.42424242424242425,0.19758009709378976
0.43434343434343436,0.2061218847754035
0.4444444444444445,0.2147205351728858
0.4545454545454546,0.22306967207901662
0.4646464646464647,0.23103094643614708
0.4747474747474748,0.2386545599879064
0.48484848484848486,0.2459870599081151
0.494949494949495,0.25318965108461433
0.5050505050505051,0.2602340152127247
0.5151515151515152,0.267035452570926
0.5252525252525253,0.27343361675397604
0.5353535353535354,0.27933383301773596
0.5454545454545455,0.2847055706148447
0.5555555555555556,0.2894546231617594
0.5656565656565657,0.29351358484862256
0.5757575757575758,0.2968885460107109
0.5858585858585859,0.29953414204609996
0.595959595959596,0.3014685584393042
0.6060606060606061,0.3026913191307654
0.6161616161616162,0.3031690009872132
0.6262626262626263,0.3029402368282599
0.6363636363636365,0.3020448431031002
0.6464646464646465,0.30043179310518964
0.6565656565656566,0.2984515532604919
0.6666666666666667,0.29647425360156276
0.6767676767676768,0.2945497194570459
0.686868686868687,0.29231630771510897
0.696969696969697,0.2897018526395271
0.7070707070707072,0.2866575322632563
0.7171717171717172,0.2831375236998994
0.7272727272727273,0.27916507362410026
0.7373737373737375,0.2746583246346773
0.7474747474747475,0.26955819881066745
0.7575757575757577,0.26391907308831297
0.7676767676767677,0.2580984986365591
0.7777777777777778,0.2517184942609292
0.787878787878788,0.24480588725797436
0.797979797979798,0.2380705195294519
0.8080808080808082,0.23111538354986494
0.8181818181818182,0.2238512520341529
0.8282828282828284,0.21722745759946682
0.8383838383838385,0.21091175438495835
0.8484848484848485,0.20451373151761576
0.8585858585858587,0.1977283662770425
0.8686868686868687,0.19054749100798207
0.8787878787878789,0.18401889803769722
0.888888888888889,0.17846104677303276
0.8989898989898991,0.17295952632533895
0.9090909090909092,0.16889044061397684
0.9191919191919192,0.16451304611129314
0.9292929292929294,0.1602621587902301
0.9393939393939394,0.1574767090923722
0.9494949494949496,0.15487093294818366
0.9595959595959597,0.15274792963104922
0.9696969696969697,0.15382572885651813
0.9797979797979799,0.1570037432055168
0.98989898989899,0.16078523272687273
1.0,0.1652021131216369
1.0,0.1652021131216369
1.020100502512563,0.1768032649036777
1.0402010050251256,0.1911266230085058
1.0603015075376885,0.20568427837698
1.0804020100502512,0.21824868704032752
1.100502512562814,0.23121904622798573
1.120603015075377,0.24430540292208147
1.1407035175879396,0.25801075424456943
