g0,eta,sigma,kappa,gamma,gamma_phi,coupling,epsilon,T
1,1,-1,0.1,0,0.01,gauss,0.8787890909090909,25
1,1,-1,0.1,0,0.01,gauss,0.88889,25
1,1,-1,0.1,0,0.01,gauss,0.8989909090909091,25
1,1,-1,0.1,0,0.01,gauss,0.9090918181818182,25
1,1,-1,0.1,0,0.01,gauss,0.9191927272727273,25
1,1,-1,0.1,0,0.01,gauss,0.9292936363636363,25
1,1,-1,0.1,0,0.01,gauss,0.9393945454545454,25
1,1,-1,0.1,0,0.01,gauss,0.9494954545454545,25
1,1,-1,0.1,0,0.01,gauss,0.9595963636363636,25
1,1,-1,0.1,0,0.01,gauss,0.9696972727272727,25
1,1,-1,0.1,0,0.01,gauss,0.9797981818181818,25
1,1,-1,0.1,0,0.01,gauss,0.9898990909090909,25
1,1,-1,0.1,0,0.01,gauss,1.0,25
