,E_const_aberto
0.0,1.0000000311843207
0.010101010101010102,0.9918549365927603
0.020202020202020204,0.9822944649185789
0.030303030303030304,0.9713282957051167
0.04040404040404041,0.9589692627394539
0.05050505050505051,0.9452326082447423
0.06060606060606061,0.9301364725057071
0.07070707070707072,0.9137028559599749
0.08080808080808081,0.8959580414800599
0.09090909090909091,0.8769339473533
0.10101010101010102,0.8566693506684108
0.11111111111111112,0.8352116647498785
0.12121212121212122,0.8126190691390365
0.13131313131313133,0.7889630058588465
0.14141414141414144,0.7643315657401726
0.15151515151515152,0.7388332396340453
0.16161616161616163,0.7126016784619299
0.17171717171717174,0.6858012128293434
0.18181818181818182,0.6586328692051064
0.19191919191919193,0.6313407185475092
0.20202020202020204,0.6042174956044346
0.21212121212121213,0.5776080017006314
0.22222222222222224,0.5519081359564176
0.23232323232323235,0.5275562272502474
0.24242424242424243,0.505014120911089
0.25252525252525254,0.48473642279426826
0.26262626262626265,0.4671303038329072
0.27272727272727276,0.45251285346759046
0.2828282828282829,0.4410768372419361
0.29292929292929293,0.43287479368034315
0.30303030303030304,0.42782628619048424
0.31313131313131315,0.42574469882589067
0.32323232323232326,0.42637388989350394
0.33333333333333337,0.4294245918339197
0.3434343434343435,0.43460271556457863
0.3535353535353536,0.4416267633276196
0.36363636363636365,0.4502359931948651
0.37373737373737376,0.4601916397137761
0.38383838383838387,0.47127467928150585
0.393939393939394,0.48328299512942435
0.4040404040404041,0.4960284847295535
0.4141414141414142,0.5093352273339536
0.42424242424242425,0.5230387419712492
0.43434343434343436,0.5369856743638716
0.4444444444444445,0.5510341837649835
0.4545454545454546,0.5650547449223003
0.4646464646464647,0.578930456064742
0.4747474747474748,0.5925574398973836
0.48484848484848486,0.6058447412053702
0.494949494949495,0.6187137281799925
0.5050505050505051,0.6310977945423568
0.5151515151515152,0.6429417292937264
0.5252525252525253,0.6542007898331995
0.5353535353535354,0.6648399977260616
0.5454545454545455,0.6748332850626106
0.5555555555555556,0.6841625052615748
0.5656565656565657,0.6928168902489908
0.5757575757575758,0.7007922284306417
0.5858585858585859,0.7080900638259319
0.595959595959596,0.7147173318682558
0.6060606060606061,0.7206858586746842
0.6161616161616162,0.7260119412795328
0.6262626262626263,0.7307159668928402
0.6363636363636365,0.7348219138346903
0.6464646464646465,0.7383569100976044
0.6565656565656566,0.741351227312014
0.6666666666666667,0.7438378695090562
0.6767676767676768,0.7458522976732137
0.686868686868687,0.7474322272521383
0.696969696969697,0.7486171489904503
0.7070707070707072,0.7494481629967655
0.7171717171717172,0.7499676443427917
