g0,eta,sigma,kappa,gamma,gamma_phi,coupling,epsilon,T
1,1,-1,0.1,0,0.01,gauss,0.1,75
1,1,-1,0.1,0,0.01,gauss,0.1090909090909091,75
1,1,-1,0.1,0,0.01,gauss,0.1181818181818182,75
1,1,-1,0.1,0,0.01,gauss,0.1272727272727273,75
1,1,-1,0.1,0,0.01,gauss,0.13636363636363635,75
1,1,-1,0.1,0,0.01,gauss,0.14545454545454545,75
1,1,-1,0.1,0,0.01,gauss,0.15454545454545454,75
1,1,-1,0.1,0,0.01,gauss,0.16363636363636364,75
1,1,-1,0.1,0,0.01,gauss,0.17272727272727273,75
1,1,-1,0.1,0,0.01,gauss,0.18181818181818182,75
1,1,-1,0.1,0,0.01,gauss,0.19090909090909092,75
1,1,-1,0.1,0,0.01,gauss,0.2,75
1,1,-1,0.1,0,0.01,gauss,0.2090909090909091,75
1,1,-1,0.1,0,0.01,gauss,0.2181818181818182,75
1,1,-1,0.1,0,0.01,gauss,0.22727272727272727,75
1,1,-1,0.1,0,0.01,gauss,0.23636363636363636,75
1,1,-1,0.1,0,0.01,gauss,0.24545454545454545,75
1,1,-1,0.1,0,0.01,gauss,0.2545454545454545,75
1,1,-1,0.1,0,0.01,gauss,0.26363636363636367,75
1,1,-1,0.1,0,0.01,gauss,0.2727272727272727,75
1,1,-1,0.1,0,0.01,gauss,0.28181818181818186,75
1,1,-1,0.1,0,0.01,gauss,0.2909090909090909,75
1,1,-1,0.1,0,0.01,gauss,0.3,75
1,1,-1,0.1,0,0.01,gauss,0.3090909090909091,75
1,1,-1,0.1,0,0.01,gauss,0.3181818181818182,75
1,1,-1,0.1,0,0.01,gauss,0.32727272727272727,75
1,1,-1,0.1,0,0.01,gauss,0.33636363636363636,75
1,1,-1,0.1,0,0.01,gauss,0.34545454545454546,75
1,1,-1,0.1,0,0.01,gauss,0.3545454545454545,75
1,1,-1,0.1,0,0.01,gauss,0.36363636363636365,75
1,1,-1,0.1,0,0.01,gauss,0.3727272727272727,75
1,1,-1,0.1,0,0.01,gauss,0.38181818181818183,75
1,1,-1,0.1,0,0.01,gauss,0.3909090909090909,75
1,1,-1,0.1,0,0.01,gauss,0.4,75
