g0,eta,w,kappa,gamma,gamma_phi,coupling,phi
1,1,0.005185185185185186,0.1,0,0.01,linear,0.5
1,1,0.005319865319865321,0.1,0,0.01,linear,0.5
1,1,0.005454545454545456,0.1,0,0.01,linear,0.5
1,1,0.005589225589225591,0.1,0,0.01,linear,0.5
1,1,0.005723905723905726,0.1,0,0.01,linear,0.5
1,1,0.005858585858585859,0.1,0,0.01,linear,0.5
1,1,0.005993265993265994,0.1,0,0.01,linear,0.5
1,1,0.006127946127946129,0.1,0,0.01,linear,0.5
1,1,0.006262626262626264,0.1,0,0.01,linear,0.5
1,1,0.006397306397306399,0.1,0,0.01,linear,0.5
1,1,0.006531986531986534,0.1,0,0.01,linear,0.5
1,1,0.006666666666666667,0.1,0,0.01,linear,0.5
