g0,eta,sigma,kappa,gamma,gamma_phi,coupling,epsilon,T
1,1,-1,0.1,0,0.01,gauss,6.0,75
1,1,-1,0.1,0,0.01,gauss,6.040404040404041,75
1,1,-1,0.1,0,0.01,gauss,6.08080808080808,75
1,1,-1,0.1,0,0.01,gauss,6.121212121212121,75
1,1,-1,0.1,0,0.01,gauss,6.161616161616162,75
1,1,-1,0.1,0,0.01,gauss,6.202020202020202,75
1,1,-1,0.1,0,0.01,gauss,6.242424242424242,75
1,1,-1,0.1,0,0.01,gauss,6.282828282828283,75
1,1,-1,0.1,0,0.01,gauss,6.3232323232323235,75
1,1,-1,0.1,0,0.01,gauss,6.363636363636363,75
1,1,-1,0.1,0,0.01,gauss,6.404040404040404,75
1,1,-1,0.1,0,0.01,gauss,6.444444444444445,75
1,1,-1,0.1,0,0.01,gauss,6.484848484848484,75
1,1,-1,0.1,0,0.01,gauss,6.525252525252525,75
1,1,-1,0.1,0,0.01,gauss,6.565656565656566,75
1,1,-1,0.1,0,0.01,gauss,6.606060606060606,75
1,1,-1,0.1,0,0.01,gauss,6.646464646464646,75
1,1,-1,0.1,0,0.01,gauss,6.686868686868687,75
1,1,-1,0.1,0,0.01,gauss,6.7272727272727275,75
1,1,-1,0.1,0,0.01,gauss,6.767676767676768,75
1,1,-1,0.1,0,0.01,gauss,6.808080808080808,75
1,1,-1,0.1,0,0.01,gauss,6.848484848484849,75
1,1,-1,0.1,0,0.01,gauss,6.888888888888889,75
1,1,-1,0.1,0,0.01,gauss,6.929292929292929,75
1,1,-1,0.1,0,0.01,gauss,6.96969696969697,75
1,1,-1,0.1,0,0.01,gauss,7.01010101010101,75
1,1,-1,0.1,0,0.01,gauss,7.05050505050505,75
1,1,-1,0.1,0,0.01,gauss,7.090909090909091,75
1,1,-1,0.1,0,0.01,gauss,7.1313131313131315,75
1,1,-1,0.1,0,0.01,gauss,7.171717171717171,75
1,1,-1,0.1,0,0.01,gauss,7.212121212121212,75
1,1,-1,0.1,0,0.01,gauss,7.252525252525253,75
1,1,-1,0.1,0,0.01,gauss,7.292929292929293,75
1,1,-1,0.1,0,0.01,gauss,7.333333333333334,75
1,1,-1,0.1,0,0.01,gauss,7.373737373737374,75
1,1,-1,0.1,0,0.01,gauss,7.414141414141414,75
1,1,-1,0.1,0,0.01,gauss,7.454545454545455,75
1,1,-1,0.1,0,0.01,gauss,7.494949494949495,75
1,1,-1,0.1,0,0.01,gauss,7.5353535353535355,75
1,1,-1,0.1,0,0.01,gauss,7.575757575757576,75
1,1,-1,0.1,0,0.01,gauss,7.616161616161616,75
1,1,-1,0.1,0,0.01,gauss,7.656565656565657,75
1,1,-1,0.1,0,0.01,gauss,7.696969696969697,75
1,1,-1,0.1,0,0.01,gauss,7.737373737373737,75
1,1,-1,0.1,0,0.01,gauss,7.777777777777778,75
1,1,-1,0.1,0,0.01,gauss,7.818181818181818,75
1,1,-1,0.1,0,0.01,gauss,7.858585858585859,75
1,1,-1,0.1,0,0.01,gauss,7.8989898989899,75
1,1,-1,0.1,0,0.01,gauss,7.9393939393939394,75
1,1,-1,0.1,0,0.01,gauss,7.97979797979798,75
1,1,-1,0.1,0,0.01,gauss,8.02020202020202,75
1,1,-1,0.1,0,0.01,gauss,8.06060606060606,75
1,1,-1,0.1,0,0.01,gauss,8.1010101010101,75
1,1,-1,0.1,0,0.01,gauss,8.141414141414142,75
1,1,-1,0.1,0,0.01,gauss,8.181818181818182,75
1,1,-1,0.1,0,0.01,gauss,8.222222222222221,75
1,1,-1,0.1,0,0.01,gauss,8.262626262626263,75
1,1,-1,0.1,0,0.01,gauss,8.303030303030303,75
1,1,-1,0.1,0,0.01,gauss,8.343434343434343,75
1,1,-1,0.1,0,0.01,gauss,8.383838383838384,75
1,1,-1,0.1,0,0.01,gauss,8.424242424242424,75
1,1,-1,0.1,0,0.01,gauss,8.464646464646465,75
1,1,-1,0.1,0,0.01,gauss,8.505050505050505,75
1,1,-1,0.1,0,0.01,gauss,8.545454545454547,75
1,1,-1,0.1,0,0.01,gauss,8.585858585858587,75
