g0,eta,w,kappa,gamma,gamma_phi,coupling,phi
1,1,0.0,0.1,0,0.01,exp,0
1,1,0.0001400297334464536,0.1,0,0.01,exp,0
1,1,0.0002800594668929072,0.1,0,0.01,exp,0
1,1,0.0004200892003393608,0.1,0,0.01,exp,0
1,1,0.0005601189337858144,0.1,0,0.01,exp,0
1,1,0.000700148667232268,0.1,0,0.01,exp,0
1,1,0.0008401784006787216,0.1,0,0.01,exp,0
1,1,0.0009802081341251751,0.1,0,0.01,exp,0
1,1,0.0011202378675716287,0.1,0,0.01,exp,0
1,1,0.0012602676010180823,0.1,0,0.01,exp,0
1,1,0.001400297334464536,0.1,0,0.01,exp,0
1,1,0.0015403270679109895,0.1,0,0.01,exp,0
1,1,0.0016803568013574431,0.1,0,0.01,exp,0
1,1,0.0018203865348038967,0.1,0,0.01,exp,0
1,1,0.0019604162682503503,0.1,0,0.01,exp,0
1,1,0.002100446001696804,0.1,0,0.01,exp,0
1,1,0.0022404757351432575,0.1,0,0.01,exp,0
1,1,0.002380505468589711,0.1,0,0.01,exp,0
1,1,0.0025205352020361647,0.1,0,0.01,exp,0
1,1,0.0026605649354826183,0.1,0,0.01,exp,0
1,1,0.002800594668929072,0.1,0,0.01,exp,0
1,1,0.0029406244023755254,0.1,0,0.01,exp,0
1,1,0.003080654135821979,0.1,0,0.01,exp,0
1,1,0.0032206838692684326,0.1,0,0.01,exp,0
1,1,0.0033607136027148862,0.1,0,0.01,exp,0
1,1,0.00350074333616134,0.1,0,0.01,exp,0
1,1,0.0036407730696077934,0.1,0,0.01,exp,0
1,1,0.003780802803054247,0.1,0,0.01,exp,0
1,1,0.003920832536500701,0.1,0,0.01,exp,0
1,1,0.004060862269947154,0.1,0,0.01,exp,0
1,1,0.004200892003393608,0.1,0,0.01,exp,0
1,1,0.004340921736840061,0.1,0,0.01,exp,0
1,1,0.004480951470286515,0.1,0,0.01,exp,0
1,1,0.0046209812037329686,0.1,0,0.01,exp,0
1,1,0.004761010937179422,0.1,0,0.01,exp,0
1,1,0.004901040670625876,0.1,0,0.01,exp,0
1,1,0.005041070404072329,0.1,0,0.01,exp,0
1,1,0.005181100137518783,0.1,0,0.01,exp,0
1,1,0.0053211298709652365,0.1,0,0.01,exp,0
1,1,0.00546115960441169,0.1,0,0.01,exp,0
1,1,0.005601189337858144,0.1,0,0.01,exp,0
1,1,0.005741219071304597,0.1,0,0.01,exp,0
1,1,0.005881248804751051,0.1,0,0.01,exp,0
1,1,0.0060212785381975045,0.1,0,0.01,exp,0
1,1,0.006161308271643958,0.1,0,0.01,exp,0
1,1,0.006301338005090412,0.1,0,0.01,exp,0
1,1,0.006441367738536865,0.1,0,0.01,exp,0
1,1,0.006581397471983319,0.1,0,0.01,exp,0
1,1,0.0067214272054297725,0.1,0,0.01,exp,0
1,1,0.006861456938876226,0.1,0,0.01,exp,0
1,1,0.00700148667232268,0.1,0,0.01,exp,0
1,1,0.007141516405769133,0.1,0,0.01,exp,0
1,1,0.007281546139215587,0.1,0,0.01,exp,0
1,1,0.00742157587266204,0.1,0,0.01,exp,0
1,1,0.007561605606108494,0.1,0,0.01,exp,0
1,1,0.007701635339554948,0.1,0,0.01,exp,0
1,1,0.007841665073001401,0.1,0,0.01,exp,0
1,1,0.007981694806447854,0.1,0,0.01,exp,0
1,1,0.008121724539894308,0.1,0,0.01,exp,0
