regime,resource,coupling,role,source,destination,file_count,bytes
article_both_losses,coherence,gaussian_T,full_scan_corrected,/Users/cesar/Research/time-dependent-coupling-open/results/coherence_article_corrected/article_coherence_gauss_T,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/coherence/gaussian_T/full_scan_corrected,10,518638
article_both_losses,coherence,gaussian_T,selected_expected_values,/Users/cesar/Research/time-dependent-coupling-open/results/expected_values_all_cases_xy/expected_values_all_cases_xy1/fig2_coherence_gauss_T,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/coherence/gaussian_T/selected_expected_values,93,785178
article_both_losses,coherence,gaussian_T,current_article_figure,/Users/cesar/Research/time-dependent-coupling-open/sistema_aberto_acoplamento_variavel/wolfram_plots/coerence_plots/densityplotcombinedcoer_gauss6.pdf,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/coherence/gaussian_T/current_article_figures/densityplotcombinedcoer_gauss6.pdf,1,560468
article_both_losses,coherence,gaussian_T,current_article_figure,/Users/cesar/Research/time-dependent-coupling-open/sistema_aberto_acoplamento_variavel/wolfram_plots/coerence_plots/plottimeev_gauss6.pdf,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/coherence/gaussian_T/current_article_figures/plottimeev_gauss6.pdf,1,35352
article_both_losses,coherence,cosine_omega,full_scan_corrected,/Users/cesar/Research/time-dependent-coupling-open/results/coherence_article_corrected/article_coherence_cos_omega,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/coherence/cosine_omega/full_scan_corrected,10,1027600
article_both_losses,coherence,cosine_omega,selected_expected_values,/Users/cesar/Research/time-dependent-coupling-open/results/expected_values_all_cases_xy/expected_values_all_cases_xy1/fig3_coherence_cos_omega,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/coherence/cosine_omega/selected_expected_values,93,780333
article_both_losses,coherence,cosine_omega,current_article_figure,/Users/cesar/Research/time-dependent-coupling-open/sistema_aberto_acoplamento_variavel/wolfram_plots/coerence_plots/densityplot_cos5_coer.pdf,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/coherence/cosine_omega/current_article_figures/densityplot_cos5_coer.pdf,1,529858
article_both_losses,coherence,cosine_omega,current_article_figure,/Users/cesar/Research/time-dependent-coupling-open/sistema_aberto_acoplamento_variavel/wolfram_plots/coerence_plots/plottimeev_cos5_coer.pdf,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/coherence/cosine_omega/current_article_figures/plottimeev_cos5_coer.pdf,1,42940
article_both_losses,magic_W_half,gaussian_zeta,raw_dynamics_legacy_M2,/Users/cesar/Research/time-dependent-coupling-open/results/magic/magic_gauss1,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/magic_W_half/gaussian_zeta/raw_dynamics_legacy_M2,46,4635501
article_both_losses,magic_W_half,gaussian_zeta,full_scan_W_half,/Users/cesar/Research/time-dependent-coupling-open/results/mixed_state_magic_witnesses/mixed_magic1/derived/magic/magic_gauss1,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/magic_W_half/gaussian_zeta/full_scan_W_half,8,6422208
