t,sz_const,nb_const,sz_const_aberto,nb_const_aberto
0.0,1.7573337634957228e-17,5.0,1.7573337634957228e-17,5.0
0.01,-0.00010007440836146947,5.000048846298559,-0.00010019304103299218,4.995052583215418
0.02,-0.0003995197818001899,5.000198595196726,-0.0003994233891966579,4.990209575929325
0.03,-0.0008971302284661861,5.000447474396909,-0.000896542141238356,4.985470303907287
0.04,-0.0015907097079506385,5.000794456284185,-0.0015891639695498974,4.980833471444039
0.05,-0.0024772112385627308,5.001237937564544,-0.002474163803458142,4.976297414460209
0.06,-0.003552737142829979,5.001775861998758,-0.003547483756091263,4.971860004495777
0.07,-0.004812551296339727,5.002405773524102,-0.004804493131759258,4.967518828018045
0.08,-0.006251076114164686,5.003125043193192,-0.006239558483703205,4.963270973748506
0.09,-0.0078619504532748,5.003930490634701,-0.00784616043423546,4.959113090379421
0.1,-0.009638040610763402,5.004818554555365,-0.009617144927995099,4.955041512648123
0.11,-0.011571465187248683,5.005785292696088,-0.011544660818988726,4.95105223100028
0.12,-0.013653631633351536,5.006826407185343,-0.013620116999500406,4.947140869308287
0.13,-0.015875260370376138,5.0079372503387765,-0.01583437880461789,4.943302785083868
0.14,-0.018226430023877062,5.009112864606599,-0.01817761056280992,4.939532989266226
0.15,-0.02069660641866882,5.010347983144657,-0.020639455811416046,4.935826238054505
0.16,-0.023274691151035164,5.011637055958708,-0.023209003466556844,4.932177015666946
0.17,-0.025949060034210814,5.012974272659669,-0.0258748089736846,4.928579544820647
0.18,-0.02870760591312952,5.014353573097426,-0.028625104743833535,4.9250278933851765
0.19,-0.03153779371628373,5.015768686021811,-0.03144758623534697,4.921515866035238
0.2,-0.034426700760227094,5.017213147687027,-0.034329697638885034,4.9180371483611065
0.21,-0.03736106878015213,5.018680332337346,-0.03725858696905691,4.914585284248034
0.22,-0.0403273555653556,5.020163470210928,-0.04022112910501836,4.911153687486224
0.23,-0.043311787902451646,5.021655662218571,-0.04320399750439219,4.9077356778194785
0.24,-0.04630041291110574,5.0231499392475705,-0.046193720814076356,4.904324509281549
0.25,-0.049279152340828664,5.024639284778707,-0.04917671816728571,4.900913388189511
0.26,-0.05223385776267351,5.026116641549373,-0.05213935183122844,4.897495499548396
0.27,-0.05515036687973259,5.0275748900542885,-0.055068021631196104,4.894064053185923
0.28,-0.05801455491508387,5.029006968355284,-0.05794920143743504,4.890612302459846
0.29,-0.06081239025785778,5.030405876277068,-0.0607694686732519,4.887133559661924
